what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417765832779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417765833212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417765838728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765839250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765841026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417765844281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765853479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765865347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765868834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765876435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765878023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765951852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765953702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765983423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765984548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765989562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417765989736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417770909396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417770909944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417770911103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417770923268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417770924664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417770936684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417770954439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417770956351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417770994372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417770995507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417770995526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417771015573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417771036315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417771038387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417771039842
